order_id,quantity,month_name,day_name,order_time,unit_price,total_price,pizza_size,pizza_category,pizza_name
1,1,Feb,Sunday,16,13.25,13.25,M,Classic,The Hawaiian Pizza
1,1,Jun,Wednesday,18,16.75,16.75,M,Chicken,The Chicken Alfredo Pizza
3,3,May,Wednesday,12,53.85000228881836,53.85000228881836,L,Veggie,The Four Cheese Pizza
3,3,Feb,Friday,16,62.25,62.25,L,Chicken,The Thai Chicken Pizza
6,6,Jan,Friday,19,72.0,72.0,S,Classic,The Big Meat Pizza
1,1,Feb,Tuesday,17,17.950000762939453,17.950000762939453,L,Veggie,The Four Cheese Pizza
2,2,May,Saturday,16,41.5,41.5,L,Supreme,The Italian Supreme Pizza
2,2,Mar,Sunday,19,25.0,25.0,S,Supreme,The Prosciutto and Arugula Pizza
2,2,May,Tuesday,12,41.5,41.5,L,Supreme,The Prosciutto and Arugula Pizza
2,2,Apr,Wednesday,17,25.0,25.0,S,Supreme,The Italian Supreme Pizza
1,1,May,Wednesday,21,16.75,16.75,M,Chicken,The Southwest Chicken Pizza
2,2,Apr,Friday,18,32.0,32.0,M,Classic,The Classic Deluxe Pizza
1,1,May,Thursday,16,20.75,20.75,L,Chicken,The Barbecue Chicken Pizza
2,2,Mar,Saturday,20,32.0,32.0,M,Classic,The Greek Pizza
2,3,Apr,Saturday,14,33.0,49.5,M,Supreme,The Italian Supreme Pizza
1,1,Jan,Wednesday,14,20.75,20.75,L,Chicken,The Thai Chicken Pizza
1,1,Mar,Saturday,16,16.0,16.0,M,Classic,The Napolitana Pizza
3,3,Feb,Thursday,17,43.5,43.5,M,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
1,1,Jan,Monday,17,12.5,12.5,S,Veggie,The Spinach Pesto Pizza
1,1,Mar,Wednesday,12,16.5,16.5,M,Supreme,The Italian Supreme Pizza
4,4,Apr,Monday,12,50.0,50.0,M,Classic,The Pepperoni Pizza
4,4,Jun,Saturday,18,48.0,48.0,S,Classic,The Big Meat Pizza
3,3,Jan,Tuesday,12,53.85000228881836,53.85000228881836,L,Veggie,The Four Cheese Pizza
1,1,Mar,Tuesday,21,12.0,12.0,S,Classic,The Napolitana Pizza
1,1,Apr,Sunday,22,20.25,20.25,L,Veggie,The Vegetables + Vegetables Pizza
2,2,Mar,Tuesday,12,41.5,41.5,L,Chicken,The Chicken Alfredo Pizza
1,1,Apr,Saturday,14,13.25,13.25,M,Classic,The Hawaiian Pizza
2,2,May,Sunday,21,41.5,41.5,L,Chicken,The Chicken Pesto Pizza
3,3,Apr,Thursday,17,62.25,62.25,L,Supreme,The Italian Supreme Pizza
6,7,Jun,Tuesday,13,100.5,117.25,M,Chicken,The California Chicken Pizza
1,1,Apr,Monday,21,20.75,20.75,L,Supreme,The Spinach Supreme Pizza
2,2,May,Thursday,14,41.5,41.5,L,Supreme,The Pepper Salami Pizza
1,1,Feb,Wednesday,12,35.95000076293945,35.95000076293945,XXL,Classic,The Greek Pizza
4,4,Jun,Monday,17,83.0,83.0,L,Chicken,The Southwest Chicken Pizza
1,1,Mar,Tuesday,19,20.25,20.25,L,Supreme,The Sicilian Pizza
1,1,May,Tuesday,15,12.0,12.0,S,Classic,The Big Meat Pizza
1,1,Feb,Sunday,15,12.75,12.75,S,Chicken,The Chicken Alfredo Pizza
2,2,Feb,Wednesday,22,35.0,35.0,L,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
1,1,Mar,Friday,15,20.75,20.75,L,Chicken,The Thai Chicken Pizza
3,3,Feb,Friday,18,36.0,36.0,S,Classic,The Big Meat Pizza
2,2,Mar,Sunday,17,51.0,51.0,XL,Classic,The Greek Pizza
1,1,Mar,Friday,19,18.5,18.5,L,Veggie,The Five Cheese Pizza
1,1,Apr,Saturday,16,16.0,16.0,M,Veggie,The Vegetables + Vegetables Pizza
1,1,Mar,Wednesday,21,20.5,20.5,L,Classic,The Italian Capocollo Pizza
1,1,Jan,Wednesday,13,12.25,12.25,S,Supreme,The Calabrese Pizza
1,1,Apr,Saturday,13,12.5,12.5,M,Classic,The Pepperoni Pizza
1,1,Mar,Sunday,13,16.5,16.5,M,Supreme,The Pepper Salami Pizza
2,3,Feb,Tuesday,12,19.5,29.25,S,Classic,The Pepperoni Pizza
1,1,Feb,Wednesday,18,16.75,16.75,M,Chicken,The Chicken Pesto Pizza
2,2,Apr,Saturday,16,41.5,41.5,L,Chicken,The Southwest Chicken Pizza
2,2,Jun,Saturday,12,32.0,32.0,M,Veggie,The Mexicana Pizza
1,1,Feb,Monday,12,12.5,12.5,S,Supreme,The Spicy Italian Pizza
1,1,Jan,Wednesday,22,16.5,16.5,L,Classic,The Hawaiian Pizza
1,1,Apr,Saturday,22,16.0,16.0,M,Classic,The Classic Deluxe Pizza
1,1,Apr,Friday,20,20.75,20.75,L,Supreme,The Soppressata Pizza
1,1,Feb,Thursday,20,10.5,10.5,S,Classic,The Hawaiian Pizza
1,1,May,Thursday,13,20.75,20.75,L,Chicken,The Barbecue Chicken Pizza
1,1,Jan,Wednesday,12,16.5,16.5,M,Supreme,The Soppressata Pizza
1,1,Mar,Sunday,16,16.75,16.75,M,Chicken,The Chicken Alfredo Pizza
1,1,Feb,Thursday,12,25.5,25.5,XL,Classic,The Greek Pizza
1,1,Feb,Saturday,20,16.0,16.0,M,Veggie,The Vegetables + Vegetables Pizza
1,1,Jan,Monday,13,16.5,16.5,M,Supreme,The Pepper Salami Pizza
1,1,Mar,Thursday,11,20.75,20.75,L,Supreme,The Prosciutto and Arugula Pizza
1,1,Feb,Monday,13,9.75,9.75,S,Classic,The Pepperoni Pizza
1,1,Apr,Tuesday,12,23.649999618530273,23.649999618530273,S,Supreme,The Brie Carre Pizza
2,2,May,Monday,16,24.0,24.0,S,Classic,The Classic Deluxe Pizza
1,1,Apr,Tuesday,14,14.75,14.75,M,Veggie,The Four Cheese Pizza
1,1,Apr,Sunday,12,16.0,16.0,M,Veggie,The Mexicana Pizza
1,1,Jun,Saturday,13,10.5,10.5,S,Classic,The Hawaiian Pizza
2,2,Jun,Saturday,20,32.0,32.0,M,Classic,The Classic Deluxe Pizza
1,1,May,Thursday,18,20.75,20.75,L,Supreme,The Italian Supreme Pizza
